LCLid,Acorn,cluster_id
MAC000394,ACORN-H,2
MAC000395,ACORN-L,1
MAC000396,ACORN-E,2
MAC000397,ACORN-F,2
MAC000398,ACORN-E,2
MAC000399,ACORN-F,2
MAC000400,ACORN-E,2
MAC000401,ACORN-K,1
MAC000402,ACORN-Q,1
MAC000403,ACORN-E,2
MAC000404,ACORN-E,2
MAC000405,ACORN-H,2
MAC000406,ACORN-I,2
MAC000407,ACORN-F,2
MAC000408,ACORN-Q,1
MAC000409,ACORN-E,0
MAC000410,ACORN-N,1
MAC000411,ACORN-F,2
MAC000412,ACORN-Q,1
MAC000413,ACORN-E,2
MAC000414,ACORN-E,2
MAC000415,ACORN-E,0
MAC000416,ACORN-Q,1
MAC000417,ACORN-Q,1
MAC000418,ACORN-E,2
MAC000419,ACORN-E,2
MAC000420,ACORN-E,0
MAC000421,ACORN-E,2
MAC000422,ACORN-E,2
MAC000423,ACORN-Q,1
MAC000424,ACORN-E,2
MAC000425,ACORN-Q,1
MAC000426,ACORN-F,2
MAC000427,ACORN-O,1
MAC000428,ACORN-L,1
MAC000429,ACORN-E,2
MAC000430,ACORN-Q,1
MAC000431,ACORN-C,0
MAC000432,ACORN-F,2
MAC000433,ACORN-N,1
MAC000434,ACORN-Q,1
MAC000435,ACORN-Q,1
MAC000436,ACORN-L,1
MAC000437,ACORN-E,0
MAC000438,ACORN-E,2
MAC000439,ACORN-F,0
MAC000440,ACORN-K,0
MAC000441,ACORN-E,2
MAC000442,ACORN-D,2
MAC000443,ACORN-E,0
MAC000444,ACORN-E,2
MAC000445,ACORN-F,2
MAC000446,ACORN-H,2
MAC000447,ACORN-G,2
MAC000448,ACORN-E,2
MAC000449,ACORN-Q,1
MAC000450,ACORN-A,0
MAC000451,ACORN-H,0
MAC000452,ACORN-H,0
MAC000453,ACORN-G,0
MAC000454,ACORN-E,2
MAC000455,ACORN-D,0
MAC000456,ACORN-D,2
MAC000457,ACORN-Q,1
MAC000458,ACORN-E,2
MAC000459,ACORN-E,2
MAC000460,ACORN-Q,0
MAC000461,ACORN-H,0
MAC000462,ACORN-D,2
